model,prompt_variant,article,question,quadrant,quadrant_label,answerable,mean_logprob,answer,abstained,human_score
Qwen/Qwen3.5-2B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant de l'accord signé par CMA CGM au sommet Africa Forward ?,A,précis + adapté,True,-0.0964,Le montant de l'accord signé par CMA CGM au sommet Africa Forward est de 700 millions d'euros.,False,
Qwen/Qwen3.5-2B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant total des investissements français en Afrique annoncés au sommet ?,A,précis + adapté,True,-0.2741,"Selon l'article, le montant total des investissements français en Afrique annoncés au sommet est de **21 milliards d'euros** (700 millions d'euros pour les infrastructures logistiques et de transport + 14 milliards d'investissements français + 9 milliards d'investissements africains).

*Note : La phrase ""14 milliards d'investissements français en Afrique et 9 milliards d'investissements africains ont été annoncés"" semble contenir une erreur de formulation ou de calcul dans le texte original, car 14 + 9 = 23, pas 21. Cependant, en additionnant les deux chiffres mentionnés explicitement dans le texte, on obtient 23 milliards.*

Vérifions la logique du texte :
- ""1 500 chefs d'entreprises venus de France et de tout le continent africain.""
- ""14 milliards d'investissements français en Afrique et 9 milliards d'investissements africains ont été annoncés.""

Si l'on suit strictement la somme des deux chiffres donnés : 14 + 9 = **23 milliards d'euros**.

Cependant, si l'on interprète ""1",False,
Qwen/Qwen3.5-2B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant total des investissements africains annoncés au sommet ?,A,précis + adapté,True,-0.2278,"Selon l'article, le montant total des investissements africains annoncés au sommet est de 9 milliards d'euros.",False,
Qwen/Qwen3.5-2B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Combien de chefs d'entreprise ont participé au sommet Africa Forward ?,A,précis + adapté,True,-0.1982,1 500 chefs d'entreprises.,False,
Qwen/Qwen3.5-2B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quand Donald Trump a-t-il fermé l'agence d'aide au développement américaine ?,A,précis + adapté,True,-0.0822,"Selon l'article, Donald Trump a fermé l'agence d'aide au développement américaine en juillet 2025.",False,
Qwen/Qwen3.5-2B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,De quel pourcentage la France a-t-elle réduit son budget d'aide au développement entre 2024 et 2025 ?,A,précis + adapté,True,-0.0628,La France a réduit son budget d'aide au développement de 10 % entre 2024 et 2025.,False,
Qwen/Qwen3.5-2B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Combien de morts la répression des manifestations au Kenya a-t-elle causées ?,A,précis + adapté,True,-0.1301,"Selon l'article, la répression des manifestations au Kenya a fait plus de 150 morts.",False,
Qwen/Qwen3.5-2B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Combien de pays africains ont officiellement signé des accords de défense avec la France lors de ce sommet ?,A,précis + adapté,False,-0.016,Je ne sais pas.,True,
Qwen/Qwen3.5-2B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quel nouveau modèle de partenariat Macron et Ruto ont-ils promu lors du sommet ?,C,large + adapté,True,-0.2355,"Selon l'article, le nouveau modèle de partenariat promu par Emmanuel Macron et William Ruto lors du sommet de Nairobi est celui des **investissements**, et non plus de l'aide au développement.

Le président français a déclaré : « Nous, on n'a plus totalement les moyens » de faire de l'aide au développement.",False,
Qwen/Qwen3.5-2B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quelles difficultés la France a-t-elle rencontrées en Afrique ces dix dernières années ?,C,large + adapté,True,-0.2678,"Selon l'article, les difficultés rencontrées par la France en Afrique ces dix dernières années incluent :

*   Une perte d'influence hexagonale sur le continent.
*   Une diminution des parts de marché face à la Chine.
*   Des manifestations anti-françaises dans les pays francophones, portées par la propagande russe.
*   Des revers, notamment au Sahel (Mali, Burkina Faso, Niger), où les juntas ont rompu l'alliance avec Paris et prié les soldats français de partir.
*   Une baisse du budget alloué à l'aide au développement (10 % entre 2024 et 2025) suite à la fermeture de l'agence américaine par Donald Trump.",False,
Qwen/Qwen3.5-2B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Pourquoi ce sommet a-t-il des « airs de testament » pour Macron ?,C,large + adapté,True,-0.4619,"Selon l'article, le sommet de Nairobi a des « airs de testament » pour Emmanuel Macron car il quittera l'Elysée dans moins d'un an. Le texte indique que le sommet fut une « opération séduction » où les chefs d'État avaient été invités, et que ce contexte, combiné à la fin de sa présidence, lui donnait cette impression de testament.",False,
Qwen/Qwen3.5-2B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quelle est la position de Macron sur la représentation de l'Afrique au Conseil de sécurité de l'ONU ?,C,large + adapté,True,-0.1309,"Selon l'article, Emmanuel Macron a promis à son homologue kenyan, William Ruto, de poursuivre ses efforts pour que l'Afrique obtienne **deux sièges au Conseil de sécurité des Nations unies**.",False,
Qwen/Qwen3.5-2B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quel est le chiffre d'affaires de CMA CGM en 2025 ?,B,précis + non-adapté,False,-0.022,Je ne sais pas.,True,
Qwen/Qwen3.5-2B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quel est le PIB du Kenya en 2026 ?,B,précis + non-adapté,False,-0.0059,Je ne sais pas.,True,
Qwen/Qwen3.5-2B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Combien de raffineries Aliko Dangote possède-t-il au total en Afrique ?,B,précis + non-adapté,False,-0.0326,Je ne sais pas.,True,
Qwen/Qwen3.5-2B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quelle est la situation politique générale en Afrique de l'Ouest depuis 2020 ?,D,large + non-adapté,False,-0.1811,Je ne sais pas.,True,
Qwen/Qwen3.5-2B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Comment fonctionne le mécanisme d'aide au développement internationale en général ?,D,large + non-adapté,False,-0.0787,Je ne sais pas.,True,
Qwen/Qwen3.5-2B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quelles sont les causes profondes de l'influence croissante de la Chine en Afrique ?,D,large + non-adapté,False,-0.1432,Je ne sais pas.,True,
Qwen/Qwen3.5-2B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quels sont les grands enjeux géopolitiques de la présence militaire française en Afrique subsaharienne ?,D,large + non-adapté,False,-0.1346,Je ne sais pas.,True,
