model,prompt_variant,article,question,quadrant,quadrant_label,answerable,mean_logprob,answer,abstained,human_score
Qwen/Qwen3-4B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant de l'accord signé par CMA CGM au sommet Africa Forward ?,A,précis + adapté,True,-0.0019,Le montant de l'accord signé par CMA CGM au sommet Africa Forward est de 700 millions d'euros.,False,
Qwen/Qwen3-4B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant total des investissements français en Afrique annoncés au sommet ?,A,précis + adapté,True,-0.0167,Le montant total des investissements français en Afrique annoncés au sommet Africa Forward est de 14 milliards d'euros.,False,
Qwen/Qwen3-4B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant total des investissements africains annoncés au sommet ?,A,précis + adapté,True,-0.0095,"Selon l'article, le montant total des investissements africains annoncés au sommet Africa Forward est de **9 milliards d'euros**.",False,
Qwen/Qwen3-4B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Combien de chefs d'entreprise ont participé au sommet Africa Forward ?,A,précis + adapté,True,-0.0539,"Selon l'article, 1 500 chefs d'entreprises ont participé au sommet Africa Forward.",False,
Qwen/Qwen3-4B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quand Donald Trump a-t-il fermé l'agence d'aide au développement américaine ?,A,précis + adapté,True,-0.0,Donald Trump a fermé l'agence d'aide au développement américaine en juillet 2025.,False,
Qwen/Qwen3-4B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,De quel pourcentage la France a-t-elle réduit son budget d'aide au développement entre 2024 et 2025 ?,A,précis + adapté,True,-0.0003,La France a réduit son budget d'aide au développement de 10 % entre 2024 et 2025.,False,
Qwen/Qwen3-4B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Combien de morts la répression des manifestations au Kenya a-t-elle causées ?,A,précis + adapté,True,-0.0218,La répression des manifestations au Kenya a causé plus de 150 morts.,False,
Qwen/Qwen3-4B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Combien de pays africains ont officiellement signé des accords de défense avec la France lors de ce sommet ?,A,précis + adapté,False,-0.0,Je ne sais pas.,True,
Qwen/Qwen3-4B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quel nouveau modèle de partenariat Macron et Ruto ont-ils promu lors du sommet ?,C,large + adapté,True,-0.0795,"Macron et Ruto ont promu un nouveau modèle de partenariat entre la France et l'Afrique, qui ne se base plus sur des aides, mais sur des « investissements ». Ce partenariat vise à renforcer les liens économiques et à collaborer pour faire face aux défis communs, tels que la recherche de minerais critiques et la défense du multilatéralisme.",False,
Qwen/Qwen3-4B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quelles difficultés la France a-t-elle rencontrées en Afrique ces dix dernières années ?,C,large + adapté,True,-0.0734,"La France a rencontré plusieurs difficultés en Afrique ces dix dernières années, notamment :

1. **Perte d'influence** : Les concurrents de la France, en particulier la Chine, ont pris des parts de marché, menaçant l'influence hexagonale sur le continent.

2. **Manifestations anti-françaises** : Dans les pays francophones, des manifestations anti-françaises ont émergé, souvent portées par la propagande russe. Le pire s'est produit au Sahel, avec des juntas au Mali, au Burkina Faso et au Niger qui ont demandé aux soldats français de partir et rompu leur alliance avec Paris.

3. **Critiques et polémiques** : Les sommets Afrique-France ont été marqués par des polémiques, comme la phrase sur le président burkinabé en 2017 et la nouvelle formule de sommet en 2021, où les chefs d'Etat africains ont été exclus.

4. **Réduction des aides** : La France, comme l'Union européenne, a réduit son budget d'aide au développement, alors que des pays",False,
