model,prompt_variant,article,question,quadrant,quadrant_label,answerable,mean_logprob,answer,abstained,human_score
Qwen/Qwen3.6-27B-FP8,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant de l'accord signé par CMA CGM au sommet Africa Forward ?,A,précis + adapté,True,-0.0613,L'accord signé par CMA CGM au sommet Africa Forward est d'une valeur de 700 millions d'euros.,False,
Qwen/Qwen3.6-27B-FP8,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant total des investissements français en Afrique annoncés au sommet ?,A,précis + adapté,True,-0.0877,Le montant total des investissements français en Afrique annoncés au sommet est de 14 milliards.,False,
Qwen/Qwen3.6-27B-FP8,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant total des investissements africains annoncés au sommet ?,A,précis + adapté,True,-0.3081,9 milliards d'euros,False,
Qwen/Qwen3.6-27B-FP8,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Combien de chefs d'entreprise ont participé au sommet Africa Forward ?,A,précis + adapté,True,-0.0733,"Selon l'article, 1 500 chefs d'entreprises ont participé au sommet Africa Forward.",False,
Qwen/Qwen3.6-27B-FP8,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quand Donald Trump a-t-il fermé l'agence d'aide au développement américaine ?,A,précis + adapté,True,-0.0133,"Selon l'article, Donald Trump a fermé l'agence d'aide au développement américaine en juillet 2025.",False,
Qwen/Qwen3.6-27B-FP8,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,De quel pourcentage la France a-t-elle réduit son budget d'aide au développement entre 2024 et 2025 ?,A,précis + adapté,True,-0.0058,La France a réduit son budget d'aide au développement de 10 % entre 2024 et 2025.,False,
Qwen/Qwen3.6-27B-FP8,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Combien de morts la répression des manifestations au Kenya a-t-elle causées ?,A,précis + adapté,True,-0.0946,La répression des manifestations au Kenya a fait plus de 150 morts.,False,
Qwen/Qwen3.6-27B-FP8,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Combien de pays africains ont officiellement signé des accords de défense avec la France lors de ce sommet ?,A,précis + adapté,False,-0.0001,Je ne sais pas.,True,
Qwen/Qwen3.6-27B-FP8,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quel nouveau modèle de partenariat Macron et Ruto ont-ils promu lors du sommet ?,C,large + adapté,True,-0.1002,"Lors du sommet, Emmanuel Macron et William Ruto ont promu un « nouveau partenariat » fondé non plus sur l'aide au développement, mais sur les **investissements**.",False,
Qwen/Qwen3.6-27B-FP8,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quelles difficultés la France a-t-elle rencontrées en Afrique ces dix dernières années ?,C,large + adapté,True,-0.0591,"Selon l'article, la France a rencontré les difficultés suivantes en Afrique au cours des dix dernières années :

*   **Perte de parts de marché** au profit de ses concurrents, la Chine en tête.
*   **Manifestations anti-françaises** dans les pays francophones, portées par la propagande russe.
*   **Lourds revers au Sahel** (Mali, Burkina Faso et Niger), où les juntes arrivées au pouvoir entre 2020 et 2023 ont demandé le départ des soldats français et rompu leur alliance avec Paris.",False,
Qwen/Qwen3.6-27B-FP8,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Pourquoi ce sommet a-t-il des « airs de testament » pour Macron ?,C,large + adapté,True,-0.0916,Ce sommet a des « airs de testament » pour Emmanuel Macron car il quittera l'Élysée dans moins d'un an.,False,
Qwen/Qwen3.6-27B-FP8,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quelle est la position de Macron sur la représentation de l'Afrique au Conseil de sécurité de l'ONU ?,C,large + adapté,True,-0.0348,"Selon l'article, Emmanuel Macron a promis qu'il poursuivrait ses efforts pour que l'Afrique obtienne deux sièges au Conseil de sécurité des Nations unies.",False,
Qwen/Qwen3.6-27B-FP8,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quel est le chiffre d'affaires de CMA CGM en 2025 ?,B,précis + non-adapté,False,-0.0001,Je ne sais pas.,True,
Qwen/Qwen3.6-27B-FP8,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quel est le PIB du Kenya en 2026 ?,B,précis + non-adapté,False,-0.0,Je ne sais pas.,True,
Qwen/Qwen3.6-27B-FP8,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Combien de raffineries Aliko Dangote possède-t-il au total en Afrique ?,B,précis + non-adapté,False,-0.0001,Je ne sais pas.,True,
Qwen/Qwen3.6-27B-FP8,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quelle est la situation politique générale en Afrique de l'Ouest depuis 2020 ?,D,large + non-adapté,False,-0.0339,Je ne sais pas.,True,
Qwen/Qwen3.6-27B-FP8,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Comment fonctionne le mécanisme d'aide au développement internationale en général ?,D,large + non-adapté,False,-0.0001,Je ne sais pas.,True,
Qwen/Qwen3.6-27B-FP8,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quelles sont les causes profondes de l'influence croissante de la Chine en Afrique ?,D,large + non-adapté,False,-0.0001,Je ne sais pas.,True,
Qwen/Qwen3.6-27B-FP8,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quels sont les grands enjeux géopolitiques de la présence militaire française en Afrique subsaharienne ?,D,large + non-adapté,False,-0.0005,Je ne sais pas.,True,
