model,prompt_variant,article,question,quadrant,quadrant_label,answerable,mean_logprob,answer,abstained,human_score
Qwen/Qwen3.5-4B,free,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant de l'accord signé par CMA CGM au sommet Africa Forward ?,A,précis + adapté,True,-0.1212,"Selon l'article, l'accord de partenariat stratégique signé par Rodolphe Saadé, patron de l'armateur CMA CGM, a une valeur de **700 millions d'euros**. Cet accord vise à développer des infrastructures logistiques et de transport au Kenya.",False,
Qwen/Qwen3.5-4B,free,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant total des investissements français en Afrique annoncés au sommet ?,A,précis + adapté,True,-0.1186,"Selon l'article, le montant total des investissements français en Afrique annoncé au sommet de Nairobi est de **14 milliards d'euros**.",False,
Qwen/Qwen3.5-4B,free,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant total des investissements africains annoncés au sommet ?,A,précis + adapté,True,-0.0586,"Selon l'article, le montant total des investissements africains annoncés au sommet est de **9 milliards d'euros**.

Le texte précise : « Au total, 14 milliards d'investissements français en Afrique et 9 milliards d'investissements africains ont été annoncés. »",False,
Qwen/Qwen3.5-4B,free,macron_africa_forward_lemonde_12mai2026.txt,Combien de chefs d'entreprise ont participé au sommet Africa Forward ?,A,précis + adapté,True,-0.2192,"D'après le texte fourni, il n'est pas précisé le nombre exact de chefs d'entreprise participants au sommet Africa Forward.

L'article mentionne simplement qu'il y avait **« 1 500 chefs d'entreprise venus de France et de tout le continent africain »**.",False,
Qwen/Qwen3.5-4B,free,macron_africa_forward_lemonde_12mai2026.txt,Quand Donald Trump a-t-il fermé l'agence d'aide au développement américaine ?,A,précis + adapté,True,-0.0392,"Selon l'article, Donald Trump a fermé l'agence d'aide au développement américaine en **juillet 2025**.",False,
Qwen/Qwen3.5-4B,free,macron_africa_forward_lemonde_12mai2026.txt,De quel pourcentage la France a-t-elle réduit son budget d'aide au développement entre 2024 et 2025 ?,A,précis + adapté,True,-0.0341,"Selon l'article, la France a réduit son budget d'aide au développement de **10 %** entre 2024 et 2025.",False,
Qwen/Qwen3.5-4B,free,macron_africa_forward_lemonde_12mai2026.txt,Combien de morts la répression des manifestations au Kenya a-t-elle causées ?,A,précis + adapté,True,-0.1174,"Selon l'article, la répression des manifestations au Kenya a fait **plus de 150 morts**.",False,
Qwen/Qwen3.5-4B,free,macron_africa_forward_lemonde_12mai2026.txt,Combien de pays africains ont officiellement signé des accords de défense avec la France lors de ce sommet ?,A,précis + adapté,False,-0.2437,"D'après le texte fourni, il n'est pas indiqué le nombre de pays africains ayant officiellement signé des accords de défense avec la France lors du sommet Africa Forward.

L'article mentionne des « accords de partenariat stratégique » (comme celui signé avec Rodolphe Saadé pour les infrastructures logistiques) et des investissements, mais ne fait aucune référence à des accords de défense signés sur place.",False,
Qwen/Qwen3.5-4B,free,macron_africa_forward_lemonde_12mai2026.txt,Quel nouveau modèle de partenariat Macron et Ruto ont-ils promu lors du sommet ?,C,large + adapté,True,-0.2406,"Lors du sommet Africa Forward, Emmanuel Macron et William Ruto ont promu un **« nouveau partenariat »** entre la France et l'Afrique.

Selon l'article, ce modèle se distingue des relations précédentes par les points suivants :
*   Il ne se base plus sur les **aides au développement**, mais sur les **investissements**.
*   Il vise à faire face aux « prédateurs » (comme la Chine) qui pillent les minerais critiques.
*   Il s'inscrit dans une volonté de diversifier les partenariats, notamment avec les pays anglophones, pour remplacer ce que Macron a qualifié de « pré carré » de la France en Afrique.",False,
Qwen/Qwen3.5-4B,free,macron_africa_forward_lemonde_12mai2026.txt,Quelles difficultés la France a-t-elle rencontrées en Afrique ces dix dernières années ?,C,large + adapté,True,-0.1615,"D'après le texte fourni, la France a rencontré les difficultés suivantes en Afrique ces dix dernières années :

*   **Perte de parts de marché :** Ses concurrents, notamment la Chine, ont cessé de lui prendre des parts de marché.
*   **Manifestations anti-françaises :** Dans les pays francophones, des manifestations se sont multipliées, portées par la propagande russe.
*   **Départs des troupes et rupture d'alliance au Sahel :** Au Mali, au Burkina Faso et au Niger, les juntes arrivées au pouvoir entre 2020 et 2023 ont expulsé les soldats français et rompu leur alliance avec Paris.
*   **Réduction des budgets d'aide :** La France (ainsi que l'Union européenne) a baissé le budget consacré à l'aide au développement, avec une baisse de 10 % entre 2024 et 2025.",False,
