model,prompt_variant,article,question,quadrant,quadrant_label,answerable,mean_logprob,answer,abstained,human_score
RedHatAI/Qwen3.6-35B-A3B-NVFP4,free,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant de l'accord signé par CMA CGM au sommet Africa Forward ?,A,précis + adapté,True,-0.0998,"Selon l'article, le montant de l'accord de partenariat stratégique signé par le patron de l'armateur CMA CGM, Rodolphe Saadé, est de **700 millions d'euros**.",False,
RedHatAI/Qwen3.6-35B-A3B-NVFP4,free,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant total des investissements français en Afrique annoncés au sommet ?,A,précis + adapté,True,-0.051,"Selon l'article, le montant total des investissements français en Afrique annoncés au sommet est de **14 milliards d'euros**.",False,
RedHatAI/Qwen3.6-35B-A3B-NVFP4,free,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant total des investissements africains annoncés au sommet ?,A,précis + adapté,True,-0.0517,"Selon l'article, le montant total des investissements africains annoncés au sommet est de **9 milliards**.",False,
RedHatAI/Qwen3.6-35B-A3B-NVFP4,free,macron_africa_forward_lemonde_12mai2026.txt,Combien de chefs d'entreprise ont participé au sommet Africa Forward ?,A,précis + adapté,True,-0.0557,"Selon l'article, **1 500** chefs d'entreprises venus de France et de tout le continent africain ont participé au sommet Africa Forward.",False,
RedHatAI/Qwen3.6-35B-A3B-NVFP4,free,macron_africa_forward_lemonde_12mai2026.txt,Quand Donald Trump a-t-il fermé l'agence d'aide au développement américaine ?,A,précis + adapté,True,-0.0155,"Selon l'article, Donald Trump a fermé l'agence d'aide au développement américaine en **juillet 2025**.",False,
RedHatAI/Qwen3.6-35B-A3B-NVFP4,free,macron_africa_forward_lemonde_12mai2026.txt,De quel pourcentage la France a-t-elle réduit son budget d'aide au développement entre 2024 et 2025 ?,A,précis + adapté,True,-0.0206,"Selon l'article, la France a réduit son budget d'aide au développement de **10 %** entre 2024 et 2025.",False,
RedHatAI/Qwen3.6-35B-A3B-NVFP4,free,macron_africa_forward_lemonde_12mai2026.txt,Combien de morts la répression des manifestations au Kenya a-t-elle causées ?,A,précis + adapté,True,-0.0664,"Selon l'article, la répression des manifestations au Kenya a fait plus de 150 morts.",False,
RedHatAI/Qwen3.6-35B-A3B-NVFP4,free,macron_africa_forward_lemonde_12mai2026.txt,Combien de pays africains ont officiellement signé des accords de défense avec la France lors de ce sommet ?,A,précis + adapté,False,-0.19,"D'après le texte fourni, il n'est pas mentionné que des accords de défense aient été signés lors de ce sommet.

L'article indique que des accords économiques et d'investissement ont été annoncés (notamment avec CMA CGM et Aliko Dangote), et que la France a proposé une alliance pour faire face aux « prédateurs » qui pillent les minerais critiques. Cependant, il est précisé que les pays du Sahel (Mali, Burkina Faso, Niger) ont rompu leur alliance avec Paris et prié les soldats français de partir. Le texte ne fait état d'aucune signature d'accords de défense entre la France et des pays africains lors de cet événement.",False,
RedHatAI/Qwen3.6-35B-A3B-NVFP4,free,macron_africa_forward_lemonde_12mai2026.txt,Quel nouveau modèle de partenariat Macron et Ruto ont-ils promu lors du sommet ?,C,large + adapté,True,-0.1561,"Selon l'article, Emmanuel Macron et William Ruto ont vanté un « nouveau partenariat » entre la France et l'Afrique qui se fonde non plus sur l'aide au développement, mais sur les **investissements**.",False,
RedHatAI/Qwen3.6-35B-A3B-NVFP4,free,macron_africa_forward_lemonde_12mai2026.txt,Quelles difficultés la France a-t-elle rencontrées en Afrique ces dix dernières années ?,C,large + adapté,True,-0.0766,"Selon l'article, la France a rencontré les difficultés suivantes en Afrique au cours des dix dernières années :

*   **Perte de parts de marché :** Ses concurrents, notamment la Chine, ont continué de lui prendre des parts de marché.
*   **Manifestations anti-françaises :** Des manifestations ont essaimé dans les pays francophones, portées par la propagande russe.
*   **Revers au Sahel :** La situation a été particulièrement critique au Mali, au Burkina Faso et au Niger. Les juntes arrivées au pouvoir entre 2020 et 2023 ont prié les soldats français de partir et ont rompu leur alliance avec Paris.",False,
