model,prompt_variant,article,question,quadrant,quadrant_label,answerable,mean_logprob,answer,abstained,human_score
Qwen/Qwen3.5-0.8B,free,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant de l'accord signé par CMA CGM au sommet Africa Forward ?,A,précis + adapté,True,-0.1793,"Selon l'article, l'accord signé par Rodolphe Saadé de CMA CGM au sommet Africa Forward a une valeur de **700 millions d'euros**.",False,
Qwen/Qwen3.5-0.8B,free,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant total des investissements français en Afrique annoncés au sommet ?,A,précis + adapté,True,-0.4015,"Au sommet Africa Forward, Emmanuel Macron a annoncé un total de **14 milliards d'euros** d'investissements français en Afrique.

Ce montant inclut également des investissements africains de 9 milliards d'euros, selon les informations fournies dans l'article.",False,
Qwen/Qwen3.5-0.8B,free,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant total des investissements africains annoncés au sommet ?,A,précis + adapté,True,-0.366,"Au sommet Africa Forward, Emmanuel Macron a annoncé un total de **14 milliards d'euros** d'investissements français en Afrique.

Ce montant inclut également **9 milliards d'euros** d'investissements africains annoncés lors du même événement.",False,
Qwen/Qwen3.5-0.8B,free,macron_africa_forward_lemonde_12mai2026.txt,Combien de chefs d'entreprise ont participé au sommet Africa Forward ?,A,précis + adapté,True,-0.1926,"Selon l'article, 1 500 chefs d'entreprise ont participé au sommet Africa Forward.",False,
Qwen/Qwen3.5-0.8B,free,macron_africa_forward_lemonde_12mai2026.txt,Quand Donald Trump a-t-il fermé l'agence d'aide au développement américaine ?,A,précis + adapté,True,-0.124,"Selon l'article, Donald Trump a fermé l'agence d'aide au développement américaine en juillet 2025.",False,
Qwen/Qwen3.5-0.8B,free,macron_africa_forward_lemonde_12mai2026.txt,De quel pourcentage la France a-t-elle réduit son budget d'aide au développement entre 2024 et 2025 ?,A,précis + adapté,True,-0.2478,"En 2024 et 2025, la France a baissé le budget qui lui était consacré à l'aide au développement de **10 %**.",False,
Qwen/Qwen3.5-0.8B,free,macron_africa_forward_lemonde_12mai2026.txt,Combien de morts la répression des manifestations au Kenya a-t-elle causées ?,A,précis + adapté,True,-0.2455,"Selon l'article, la répression des manifestations a fait plus de **150 morts** et des dizaines de disparus au Kenya.",False,
Qwen/Qwen3.5-0.8B,free,macron_africa_forward_lemonde_12mai2026.txt,Combien de pays africains ont officiellement signé des accords de défense avec la France lors de ce sommet ?,A,précis + adapté,False,-0.4566,"Selon l'article fourni, il n'est pas mentionné de nombre précis de pays africains qui ont officiellement signé des accords de défense avec la France lors du sommet Africa Forward. L'article se concentre principalement sur les investissements (14 milliards d'euros français, 9 milliards d'euros africains), les partenaires anglophones et les relations diplomatiques générales, mais ne détaille pas la liste des pays ou la nature spécifique des accords de défense.",False,
Qwen/Qwen3.5-0.8B,free,macron_africa_forward_lemonde_12mai2026.txt,Quel nouveau modèle de partenariat Macron et Ruto ont-ils promu lors du sommet ?,C,large + adapté,True,-0.6567,"Lors du sommet Africa Forward, Emmanuel Macron et William Ruto ont promu un nouveau modèle de partenariat qui se distingue par deux aspects principaux :

1.  **Une approche de l'aide et de l'investissement plutôt que de l'aide pure :** Ils ont affirmé que la France ne disposait plus de ""tous les moyens"" pour faire de l'aide au développement, alors que l'Union européenne et la France avaient baissé leurs budgets. Ils ont donc proposé une transformation de la relation : les deux nations ne se contentaient plus d'aide, mais de **d'investissements** directs.
2.  **Une alliance stratégique pour faire face aux ""prédateurs"" :** Le président a proposé une alliance entre la France et les pays anglophones (notamment les pays francophones) pour combler les lacunes dans le secteur des minerais critiques et répondre aux menaces des nations adverses.

En résumé, le modèle promu par Macron et Ruto consistait à transformer le partenariat en une collaboration de **dépôts d'investissements** et d'alliance stratégique pour sécuriser les ressources stratégiques de l'Afrique.",False,
Qwen/Qwen3.5-0.8B,free,macron_africa_forward_lemonde_12mai2026.txt,Quelles difficultés la France a-t-elle rencontrées en Afrique ces dix dernières années ?,C,large + adapté,True,-0.4235,"En dix dernières années, la France a rencontré plusieurs difficultés majeures en Afrique, principalement liées à la concurrence internationale, à la corruption et à la politique étrangère.

Voici les principaux défis identifiés dans le contexte de l'article :

1.  **La concurrence des puissances occidentales** : La France a été confrontée à une pression accrue de ses concurrents, notamment la Chine, qui a pris des parts de marché croissantes dans les pays francophones.
2.  **La corruption et la répression** : Dans les pays francophones, des manifestations anti-françaises ont essaimé, portées par la propagande russe. Le pire s'est joué au Sahel (Mali, Burkina Faso, Niger), où des groupes armés ont prié les soldats français de partir et rompu leur alliance avec Paris.
3.  **Les tensions internes et les conflits armés** : Des juntes arrivées au pouvoir entre 2020 et 2023 ont, sans ménagement, prié les soldats français de partir, rompus leur alliance avec Paris et infligé des lourds revers à la France.
4.  **La perte de l'in",False,
