model,prompt_variant,article,question,quadrant,quadrant_label,answerable,mean_logprob,answer,abstained,human_score
Qwen/Qwen3.5-0.8B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant de l'accord signé par CMA CGM au sommet Africa Forward ?,A,précis + adapté,True,-0.2056,"Selon l'article, le montant de l'accord signé par Rodolphe Saadé (le patron de CMA CGM) est de **700 millions d'euros**.",False,
Qwen/Qwen3.5-0.8B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant total des investissements français en Afrique annoncés au sommet ?,A,précis + adapté,True,-0.1602,"Au total, 14 milliards d'investissements français en Afrique ont été annoncés au sommet.",False,
Qwen/Qwen3.5-0.8B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant total des investissements africains annoncés au sommet ?,A,précis + adapté,True,-0.1925,Le montant total des investissements africains annoncés au sommet est de **9 milliards d'euros**.,False,
Qwen/Qwen3.5-0.8B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Combien de chefs d'entreprise ont participé au sommet Africa Forward ?,A,précis + adapté,True,-0.1833,"Selon l'article, 1 500 chefs d'entreprise ont participé au sommet Africa Forward.",False,
Qwen/Qwen3.5-0.8B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quand Donald Trump a-t-il fermé l'agence d'aide au développement américaine ?,A,précis + adapté,True,-0.1399,Donald Trump a fermé l'agence d'aide au développement américaine en juillet 2025.,False,
Qwen/Qwen3.5-0.8B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,De quel pourcentage la France a-t-elle réduit son budget d'aide au développement entre 2024 et 2025 ?,A,précis + adapté,True,-0.212,La France a réduit son budget d'aide au développement de 10 % entre 2024 et 2025.,False,
Qwen/Qwen3.5-0.8B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Combien de morts la répression des manifestations au Kenya a-t-elle causées ?,A,précis + adapté,True,-0.2344,"Selon l'article, la répression a fait plus de **150 morts** et des dizaines de disparus.",False,
Qwen/Qwen3.5-0.8B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Combien de pays africains ont officiellement signé des accords de défense avec la France lors de ce sommet ?,A,précis + adapté,False,-0.2192,Je ne sais pas.,True,
Qwen/Qwen3.5-0.8B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quel nouveau modèle de partenariat Macron et Ruto ont-ils promu lors du sommet ?,C,large + adapté,True,-0.5691,"Lors du sommet Africa Forward, Emmanuel Macron et William Ruto ont promu un nouveau modèle de partenariat qui se distingue par la nature des investissements plutôt que par l'aide directe.

Selon l'article, ce modèle s'articule autour de l'offre d'investissements :
*   **Investissements français :** 14 milliards d'euros, dont 9 milliards d'euros d'investissements africains.
*   **Investissements africains :** 9 milliards d'euros.

Le président a également affirmé que la France ne se contente plus de fournir des aides traditionnelles, mais offre désormais des ""investissements"" pour faire face aux défis de développement.",False,
Qwen/Qwen3.5-0.8B,explicit_abstain,macron_africa_forward_lemonde_12mai2026.txt,Quelles difficultés la France a-t-elle rencontrées en Afrique ces dix dernières années ?,C,large + adapté,True,-0.4271,"En dix dernières années, la France a rencontré plusieurs difficultés majeures en Afrique :

*   **Une concurrence intense :** Les concurrents, notamment la Chine, ont pris des parts de marché croissantes, menaçant de réduire les investissements français dans les pays francophones.
*   **Des manifestations anti-françaises :** Des manifestations anti-françaises ont essaimé dans les pays francophones, portées par la propagande russe.
*   **Des conflits armés :** Le pire s'est joué au Sahel (Mali, Burkina Faso et Niger), où des groupes armés, ayant pris le pouvoir entre 2020 et 2023, ont rompu l'alliance avec Paris et prié les soldats français de partir.
*   **Des investissements limités :** Les investissements français en Afrique ont baissé, passant de 14 milliards d'euros en 2024 à 9 milliards en 2025, malgré des annonces de nouveaux partenariats.",False,
