model,prompt_variant,article,question,quadrant,quadrant_label,answerable,mean_logprob,answer,abstained,human_score
Qwen/Qwen3-4B,free,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant de l'accord signé par CMA CGM au sommet Africa Forward ?,A,précis + adapté,True,-0.0092,Le montant de l'accord signé par CMA CGM au sommet Africa Forward est de 700 millions d'euros.,False,
Qwen/Qwen3-4B,free,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant total des investissements français en Afrique annoncés au sommet ?,A,précis + adapté,True,-0.0219,Le montant total des investissements français en Afrique annoncés au sommet Africa Forward est de 14 milliards d'euros.,False,
Qwen/Qwen3-4B,free,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant total des investissements africains annoncés au sommet ?,A,précis + adapté,True,-0.0018,"Selon l'article, le montant total des investissements africains annoncés au sommet Africa Forward est de 9 milliards d'euros.",False,
Qwen/Qwen3-4B,free,macron_africa_forward_lemonde_12mai2026.txt,Combien de chefs d'entreprise ont participé au sommet Africa Forward ?,A,précis + adapté,True,-0.0609,"Selon l'article, 1 500 chefs d'entreprises venus de France et de tout le continent africain ont participé au sommet Africa Forward. Cependant, il n'est pas précisé combien de chefs d'entreprise ont participé exactement, seulement le nombre total de participants, qui inclut des chefs d'entreprise, des intellectuels et des stars du rendez-vous. Ainsi, on ne peut pas déterminer précisément le nombre de chefs d'entreprise.",False,
Qwen/Qwen3-4B,free,macron_africa_forward_lemonde_12mai2026.txt,Quand Donald Trump a-t-il fermé l'agence d'aide au développement américaine ?,A,précis + adapté,True,-0.0,Donald Trump a fermé l'agence d'aide au développement américaine en juillet 2025.,False,
Qwen/Qwen3-4B,free,macron_africa_forward_lemonde_12mai2026.txt,De quel pourcentage la France a-t-elle réduit son budget d'aide au développement entre 2024 et 2025 ?,A,précis + adapté,True,-0.0002,La France a réduit son budget d'aide au développement de 10 % entre 2024 et 2025.,False,
Qwen/Qwen3-4B,free,macron_africa_forward_lemonde_12mai2026.txt,Combien de morts la répression des manifestations au Kenya a-t-elle causées ?,A,précis + adapté,True,-0.0165,La répression des manifestations au Kenya a causé plus de 150 morts.,False,
Qwen/Qwen3-4B,free,macron_africa_forward_lemonde_12mai2026.txt,Combien de pays africains ont officiellement signé des accords de défense avec la France lors de ce sommet ?,A,précis + adapté,False,-0.0989,"Selon l'article, il n'est pas indiqué le nombre exact de pays africains qui ont officiellement signé des accords de défense avec la France lors du sommet. Cependant, il est mentionné que des investissements importants ont été annoncés, notamment un « accord de partenariat stratégique » signé par le patron de l'armateur CMA CGM Rodolphe Saadé, mais cela ne correspond pas à un accord de défense. Aucune information spécifique sur des accords de défense n'est fournie dans le texte.",False,
Qwen/Qwen3-4B,free,macron_africa_forward_lemonde_12mai2026.txt,Quel nouveau modèle de partenariat Macron et Ruto ont-ils promu lors du sommet ?,C,large + adapté,True,-0.0715,"Macron et Ruto ont promu un nouveau modèle de partenariat entre la France et l'Afrique, qui s'appuie non plus sur des aides, mais sur des « investissements ». Ce partenariat vise à renforcer la coopération économique et à faire face aux « prédateurs » qui pillent les minerais critiques.",False,
Qwen/Qwen3-4B,free,macron_africa_forward_lemonde_12mai2026.txt,Quelles difficultés la France a-t-elle rencontrées en Afrique ces dix dernières années ?,C,large + adapté,True,-0.0713,"Selon l'article, la France a rencontré plusieurs difficultés en Afrique ces dix dernières années, notamment :

1. **Perte d'influence** : Les concurrents de la France, en particulier la Chine, ont pris des parts de marché, ce qui a mené à une diminution de l'influence hexagonale sur le continent.

2. **Manifestations anti-françaises** : Dans les pays francophones, des manifestations anti-françaises ont émergé, souvent portées par la propagande russe. Le pire s'est produit au Sahel, avec des juntas au Mali, au Burkina Faso et au Niger qui ont demandé aux soldats français de partir et rompu leur alliance avec Paris.

3. **Critiques et polémiques** : Les sommets Afrique-France ont été marqués par des polémiques, comme la phrase sur le président burkinabé en 2017 et la nouvelle formule de sommet en 2021, où les chefs d'Etat africains ont été exclus.

4. **Réduction des investissements** : La France a vu son budget d'aide au développement",False,
